skill id,skill,related_skill_1,related_skill_2,related_skill_3,related_skill_4,related_skill_5,related_skill_6,related_skill_7
1,baking,,,,,,,
2,catering,,,,,,,
3,woodworking,,,,,,,
4,guitar,,,,,,,
5,wine_making,,,,,,,
6,beer_making,,,,,,,
7,mixology,,,,,,,
8,beekeeping,,,,,,,
9,public_speaking,,,,,,,
10,programming,,,,,,,
11,proofreading,,,,,,,
12,tattooing,,,,,,,
13,graphic_design,,,,,,,
14,t_shirt_design,,,,,,,
15,home_improvement,,,,,,,
16,pet_training,,,,,,,
17,video_editing,,,,,,,
18,piano,,,,,,,
19,painting,,,,,,,
20,drawing,,,,,,,
21,debate,,,,,,,
22,engraving,,,,,,,
23,sautering,,,,,,,
24,auto_work,,,,,,,
25,yoga,,,,,,,
26,climbing,,,,,,,
27,running,,,,,,,
28,weight_lifting,,,,,,,
29,financial_planning,,,,,,,
30,flower_arranging,,,,,,,
31,couponing,,,,,,,
32,soccer,,,,,,,
33,bicycling,,,,,,,
34,swimming,,,,,,,
35,rock_painting,,,,,,,
36,meditation,,,,,,,
37,sewing,,,,,,,
38,magic,,,,,,,
39,gardening,,,,,,,
40,journaling,,,,,,,
41,upcycling,,,,,,,
42,book_club,,,,,,,
43,singing,,,,,,,
44,knitting,,,,,,,
45,chess,,,,,,,
46,origami,,,,,,,
47,metal_working,,,,,,,
48,hunting,,,,,,,
49,archery,,,,,,,
50,fly_fishing,,,,,,,
51,geology,,,,,,,
52,axe_throwing,,,,,,,
53,dancing,,,,,,,
54,salsa,,,,,,,
55,ice_fishing,,,,,,,
56,whittling,,,,,,,
57,board_game,,,,,,,
58,tennis,,,,,,,
59,spanish,,,,,,,
60,chinese,,,,,,,
61,foreign_language,,,,,,,
62,cosplaying,,,,,,,
63,cooking,,,,,,,
64,nature_walk,,,,,,,
65,bird_watching,,,,,,,
66,maze,,,,,,,
67,balloon_twisting,,,,,,,
68,puppetry,,,,,,,
69,mini_golf,,,,,,,
70,jewellery,,,,,,,
71,juggling,,,,,,,
72,paper_mache,,,,,,,
73,roller_blading,,,,,,,
74,coffee_roasting,,,,,,,
75,pinochle,,,,,,,
76,ceramics,,,,,,,
77,scrapbooking,,,,,,,
78,soap_making,,,,,,,
79,model_trains,,,,,,,
80,poker,,,,,,,
81,sculpting,,,,,,,
82,lock_picking,,,,,,,
83,jam_making,,,,,,,
84,floristry,,,,,,,
85,macrame,,,,,,,
86,podcasting,,,,,,,
87,table_tennis,,,,,,,
88,dominoes,,,,,,,
89,tarot,,,,,,,
90,sushi,,,,,,,
91,poetry,,,,,,,
92,embroidery,,,,,,,
93,crosswording,,,,,,,
94,ventriloquism,,,,,,,
95,fruit_carving,,,,,,,
96,surfing,,,,,,,
97,scuba,,,,,,,
98,drone_flying,,,,,,,
99,traveling,,,,,,,
100,hair_styling,,,,,,,
